style;name;color;season;image_url;division;gender;age;category;parent_type;subtype;activity_use;sustainability;;description
24a313571;otis arch pop;blk;253;;billabong;men;adult;clothing;pullover;fleece;casual;;;350 gsm 80/20 cotton poly fleece, screen print front and back
24a313572;otis king prawn pullover;lgh;253;;billabong;men;adult;clothing;pullover;fleece;casual;;;Regular fit, mock neck styling, 80/20 cotton poly, heavy weight 420gsm fleece, CF emby, light greay heather colour with Otis trim package.
24a313573;otis canvas puffer vest;1;253;;billabong;men;adult;clothing;pullover;full_zip;casual;;;Product Type: Full zip mock neck vest
24a353500;arch fade premium ss;blk;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;;Product type: Premium 26/1, 160g short sleeve tee^Additional features: Softhand screen print front and back, heat seal neck label, side seam flag label
24a353500;arch fade premium ss;dyl;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;;Product type: Premium 26/1, 160g short sleeve tee^Additional features: Softhand screen print front and back, heat seal neck label, side seam flag label
24a353501;crayon wave premium ss;ofw;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;;Product type: Premium 26/1, 160g short sleeve tee^Additional features: Softhand screen print front and back, heat seal neck label, side seam flag label
24a353504;sunny days premium ss;sgg;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;;Product type: Premium 26/1, 160g short sleeve tee^Additional features: Softhand screen print front and back, heat seal neck label, side seam flag label
24a353507;jaybay premium ss;lpu;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;;Product type: Premium 26/1, 160g short sleeve tee^Additional features: Softhand screen print front and back, heat seal neck label, side seam flag label
24a353508;desert lounge premium ss;mdb;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;;Product type: Premium 26/1, 160g short sleeve tee^Additional features: Softhand screen print front and back, side seam flag label
24a353511;rose arch regular ss;ssb;253;;billabong;men;adult;clothing;t-shirt;crew;casual;;;100% Ring spun cotton^Mid Weight 180G 24/1 Jersey^Our regular tees are a true classic fit with relaxed shoulders and a wider neck rib^Front and Back soft hand screen print^Softened with a garment wash^Side seam flag label and interior heat transfer neck label
